"Name","hidden_sizes","epochs","end_inner_fraction","eval/success_rate_avg","eval/success_rate_button-press-v3","eval/success_rate_door-close-v3","eval/success_rate_door-open-v3","eval/success_rate_drawer-close-v3","eval/success_rate_drawer-open-v3","eval/success_rate_lever-pull-v3","eval/success_rate_pick-place-v3","eval/success_rate_push-v3","eval/success_rate_reach-v3","eval/success_rate_window-open-v3","train/final_loss","train/duration_seconds"
"eval-mt10-run_20260217_010743_end1_clip_mt10-500ep-lr3e-4-e100-end1","[64,64]","100","0.005","52","100","56.00000000000001","50","100","100","0","4","8","2","100","",""
"eval-mt10-run_20260217_011247_end1_clip_mt10-500ep-lr3e-4-e100-end1","[128,128]","100","0.005","53.8","100","26","80","100","100","0","0","26","6","100","",""
"eval-mt10-run_20260217_004101_end1_clip_mt10-500ep-lr3e-4-e100-end1","[64,64]","100","0.01","46.2","86","100","0","100","36","0","8","28.000000000000004","4","100","",""
"eval-mt10-run_20260217_004605_end1_clip_mt10-500ep-lr3e-4-e100-end1","[128,128]","100","0.01","50","100","62","0","78","92","0","16","34","18","100","",""
"eval-mt10-run_20260217_001544_end1_clip_mt10-500ep-lr3e-4-e100-end1","[128,128]","100","0.05","56.2","0","100","70","100","100","0","4","32","56.00000000000001","100","",""
"eval-mt10-run_20260217_000941_end1_clip_mt10-500ep-lr3e-4-e100-end1","[64,64]","100","0.05","57","98","100","84","100","60","0","6","16","6","100","",""
"eval-mt10-run_20260217_013335_end1_clip_mt10-500ep-lr3e-4-e300-end1","[128,128]","300","0.005","59","84","57.99999999999999","100","96","100","0","12","22","18","100","",""
"eval-mt10-run_20260217_012053_end1_clip_mt10-500ep-lr3e-4-e300-end1","[64,64]","300","0.005","53","100","100","0","100","100","0","2","24","20","84","",""
"eval-mt10-run_20260217_010242_end1_clip_mt10-500ep-lr3e-4-e300-end1","[128,128]","300","0.01","62.4","100","68","92","100","100","0","6","36","22","100","",""
"eval-mt10-run_20260217_005419_end1_clip_mt10-500ep-lr3e-4-e300-end1","[64,64]","300","0.01","50.2","24","52","96","100","100","0","4","20","6","100","",""
"eval-mt10-run_20260217_002533_end1_clip_mt10-500ep-lr3e-4-e300-end1","[64,64]","300","0.05","50.2","100","98","0","100","100","0","0","30","4","70","",""
"eval-mt10-run_20260217_003507_end1_clip_mt10-500ep-lr3e-4-e300-end1","[128,128]","300","0.05","48.2","100","82","0","100","100","0","22","10","0","68","",""
"eval-mt10-mt10_using_mt1_baseline-1000_epochs-500ep","","","","61.6","86","82","76","100","100","0","10","44","18","100","",""
"eval-mt10-cloned_policy-500ep","","","","58.8","80","100","92","100","100","0","10","6","0","100","",""
